start_station_name,end_station_name,num_trips
Marienlystparken,Hydroparken,1
Sofienbergparken nord,Tannlegehøyskolen,1
Hallénparken,Tiedemannsparken,1
Hallénparken,Thune,1
Sofienbergparken nord,Økern Portal,1
Sofienbergparken nordvest,7. juni-plassen,1
Hallénparken,Uranienborgveien,1
Marienlystparken,Hallénparken,1
Marienlystparken,Colletts gate,1
Marienlystparken,Domus Athletica,1
Marienlystparken,Dronningens gate,1
Chr. Michelsens Gate,Professor Aschehougs plass,1
Marienlystparken,Fredensborg,1
Sofienbergparken nordvest,Brynseng T-bane,1
Hallénparken,Økernveien,1
Chr. Michelsens Gate,Salt,1
Chr. Michelsens Gate,Schives gate,1
Colbjørnsens gate,Marienlystparken,1
Sofienbergparken nordvest,Blindern studentparkering,1
Chr. Michelsens Gate,Sinsen T-bane,1
Chr. Michelsens Gate,Sinsenveien,1
Chr. Michelsens Gate,Sirkustomta,1
Chr. Michelsens Gate,Sjølyst,1
Hallénparken,Vålerenga,1
Hallénparken,Vippetangen vest,1
Chr. Michelsens Gate,Skovveien,1
Chr. Michelsens Gate,Skråninga,1
Marienlystparken,Grünerhagen Nord,1
Sofienbergparken nordvest,Bjølsen mølle,1
Marienlystparken,Skippergata,1
Colbjørnsens gate,Monolittveien,1
Sofienbergparken nord,Bjerregaards gate,1
Slottsparken Øst,Ullevålsveien,1
Slottsparken Øst,Ullevål sykehus,1
Maritimt Museum,Annette Thommessens Plass,1
Maritimt Museum,Bygdøy allé,1
Colletts gate,Hans Nielsen Hauges plass,1
Colletts gate,Hasle,1
Colletts gate,Hausmanns bru,1
Hallénparken,Bøkkerveien,1
Slottsparken Øst,Thereses gate,1
Slottsparken Øst,Tannlegehøyskolen,1
Hallénparken,Bygdøy allé,1
Maritimt Museum,Fram-gården,1
Colletts gate,Hoffsveien,1
Colletts gate,Huk 2,1
Colletts gate,Hydroparken,1
Slottsparken Øst,Stavangergata,1
Colletts gate,Jarlsborgveien,1
Hallénparken,Bogstadveien,1
Slottsparken Øst,Sognsveien,1
Colletts gate,Grenseveien,1
Colletts gate,Jordalgata,1
Slottsparken Øst,Via Vika,1
Hallénparken,Colosseum Kino,1
Hallénparken,Forskningsveien,1
Colletts gate,Diakonhjemmet,1
Sofienberggata,Blindern studentparkering,1
Sofienberggata,Blindern Studenthus,1
Colletts gate,Drammensveien,1
Marienlystparken,Via Vika,1
Marienlystparken,Vippetangen øst,1
Hallénparken,Ensjøveien,1
Colletts gate,Enerhaugen,1
Marienlystparken,Økernveien,1
Hallénparken,Edvard Storms gate,1
Colletts gate,Forskningsveien,1
Colletts gate,Fram-gården,1
Sofienberggata,Bak Niels Treschows hus nord,1
Sofienberggata,Arendalsgata,1
Colletts gate,Frognerbadet,1
Colletts gate,Frognerveien,1
Colletts gate,Frøen T-bane,1
Colletts gate,Furulund,1
Slottsparken Øst,Økernveien,1
Slottsparken Øst,Sofienbergparken nord,1
Maritimt Museum,Hoffsveien,1
Slottsparken Øst,Sofienberggata,1
Colletts gate,Olav Kyrres plass,1
Maritimt Museum,Nybrua holdeplass,1
Slottsparken Øst,Jenny Braatens Plass,1
Hallénparken,Arendalsgata,1
Colletts gate,Over Rådhusgata,1
Colletts gate,Paléhaven,1
Maritimt Museum,Paléhaven,1
Maritimt Museum,Skippergata,1
Colletts gate,Professor Aschehougs plass,1
Maritimt Museum,Slottsparken Øst,1
Colletts gate,Rolf Wickstrøms vei,1
Maritimt Museum,Stjerneplassen,1
Slottsparken Øst,Griffenfeldts gate,1
Slottsparken Øst,Galgeberg,1
Slottsparken Øst,Fysikkbygningen,1
Slottsparken Øst,Frøen T-bane,1
Colletts gate,Sentrum Scene,1
Colletts gate,Sinsen T-bane,1
Colletts gate,Skillebekk,1
Hallénparken,BI Nydalen,1
Colletts gate,Norsk Folkemuseum,1
Colletts gate,Nordre gate,1
Slottsparken Øst,Københavngata busstopp,1
Colletts gate,Kirkeveien,1
Hallénparken,Bjølsendumpa,1
Hallénparken,Bjølsen mølle,1
Colletts gate,Kontraskjæret,1
Colletts gate,Krebs' gate,1
Colletts gate,Krohgstøtten hospital,1
Colletts gate,Langkaia,1
Maritimt Museum,Idioten,1
Slottsparken Øst,Pilestredet Studenthus,1
Sofienberggata,Briskeby,1
Colletts gate,Lørenveien,1
Slottsparken Øst,Monolittveien,1
Maritimt Museum,Kontraskjæret,1
Slottsparken Øst,Maritimt Museum,1
Hallénparken,Bak Niels Treschows hus sør,1
Slottsparken Øst,Majorstuen T-bane,1
Colletts gate,Meltzers gate,1
Colletts gate,Monolittveien,1
Slottsparken Øst,Lindern,1
Maritimt Museum,Munkegata,1
Maritimt Museum,Kirkeristen,1
Marienlyst,Universitetsgata,1
Colletts gate,Colbjørnsens gate,1
Colletts gate,Carl Berners plass nord,1
Colbjørnsens gate,Skippergata,1
Sofienberggata,St. Hanshaugen park sør,1
Marienlystparken,Sommerfrydhagen,1
Colbjørnsens gate,Skøyen Stasjon,1
Sofienberggata,Skråninga,1
Colbjørnsens gate,Sofienberggata,1
Colbjørnsens gate,Sofienbergparken nordvest,1
Colbjørnsens gate,Sofienbergparken sør,1
Marienlystparken,St. Hanshaugen park nord,1
Sofienberggata,Skillebekk,1
Colbjørnsens gate,St. Hanshaugen park nord,1
Colbjørnsens gate,St. Hanshaugen park sør,1
Colbjørnsens gate,St. Hanshaugen park vest,1
Sofienberggata,Skarpsnoparken,1
Colbjørnsens gate,Stavangergata,1
Sofienberggata,Sirkustomta,1
Sofienberggata,Sinsenveien,1
Colbjørnsens gate,Storo Storsenter,1
Colbjørnsens gate,Stortingstunellen,1
Sofienberggata,Stensparken,1
Marienlystparken,St. Hanshaugen park sør,1
Sofienberggata,Storo Storsenter,1
Colbjørnsens gate,Sentrum Scene,1
Sofienbergparken nord,Biskop Gunnerus' gate,1
Sofienbergparken nord,Arkitekt Rivertz Plass,1
Sofienbergparken nord,Arendalsgata,1
Sofienbergparken nord,Annette Thommessens Plass,1
Colbjørnsens gate,Oslo Plaza,1
Sofienberggata,Økernveien,1
Sofienberggata,Økern Portal,1
Hallénparken,Langkaia,1
Colbjørnsens gate,Pilestredet,1
Sofienberggata,Ulven Torg,1
Sofienberggata,Ullevål sykehus,1
Colbjørnsens gate,Rostockgata,1
Sofienberggata,Trondheimsveien,1
Sofienberggata,Tiedemannsparken,1
Marienlystparken,Sofienberggata,1
Hallénparken,Kværnerveien,1
Colbjørnsens gate,Salt,1
Colbjørnsens gate,Schous plass,1
Hallénparken,Krohgstøtten hospital,1
Colbjørnsens gate,Sjølyst,1
Colbjørnsens gate,Suhms gate,1
Sofienberggata,Sagene bussholdeplass,1
Marienlystparken,St. Hanshaugen park vest,1
Colletts gate,Anker Hotel,1
Hallénparken,Hedmarksgata,1
Marienlystparken,Tannlegehøyskolen,1
Sofienberggata,Hallénparken,1
Sofienberggata,Griffenfeldts gate,1
Sofienberggata,Gimle Kino,1
Colletts gate,Bankplassen,1
Sofienberggata,Frogner Stadion,1
Marienlystparken,Trondheimsveien,1
Sofienberggata,Filipstadveien,1
Colletts gate,Bjølsen Studentby,1
Sofienberggata,Fagerheimgata,1
Hallénparken,Gimle Kino,1
Hallénparken,Georg Morgenstiernes hus,1
Marienlystparken,Universitetsgata,1
Sofienberggata,Dronningens gate,1
Marienlystparken,Uranienborgveien,1
Sofienberggata,Colosseum Kino,1
Colletts gate,Brugata,1
Marienlystparken,Sørvest for Slottsparken,1
Hallénparken,Henrik Ibsens gate,1
Sofienberggata,Huk 2,1
Sofienberggata,Idioten,1
Sofienberggata,Pilestredet 63,1
Colbjørnsens gate,Thereses gate,1
Marienlystparken,St. Olavs gate,1
Sofienberggata,Over Rådhusgata,1
Marienlystparken,Stensgata,1
Sofienberggata,Lodalen busstopp,1
Colbjørnsens gate,Torshovdalen øst,1
Marienlystparken,Stockfleths gate,1
Hallénparken,Jarlsborgveien,1
Marienlystparken,Vaterlandsparken,1
Colbjørnsens gate,Ullevålsalléen,1
Colbjørnsens gate,Universitetsgata,1
Sofienberggata,Krebs' gate,1
Hallénparken,Ila,1
Marienlystparken,Studenterlunden,1
Sofienberggata,Kjeld Stubs gate,1
Sofienberggata,Kampen park Øst,1
Colbjørnsens gate,Vippetangen øst,1
Colbjørnsens gate,Vår Frelsers gravlund,1
Sofienberggata,Ila,1
Colbjørnsens gate,Ullevålsveien,1
Sofienbergparken nordvest,Skovveien,1
Sofienbergparken nordvest,Skråninga,1
Sofienbergparken nordvest,Skøyen,1
Hans Nielsen Hauges plass,Akerselvallmenningen,1
Carl Berners plass nord,Skillebekk,1
Carl Berners plass nord,Skippergata,1
Sognsveien,Dyvekes bru,1
Sognsveien,Diakonhjemmet,1
Sognsveien,Colosseum Kino,1
Sognsveien,Colletts gate,1
Sognsveien,Colbjørnsens gate,1
Sognsveien,Chr. Michelsens Gate,1
Marienlyst,Badebakken,1
Marienlyst,Bak Niels Treschows hus nord,1
Marienlyst,Bak Niels Treschows hus sør,1
Carl Berners plass nord,St. Hanshaugen park vest,1
Sognsveien,Briskeby,1
Sognsveien,Botanisk hage sør-vest,1
Sognsveien,Borgenveien,1
Carl Berners plass nord,Stortingstunellen,1
Carl Berners plass nord,Suhms gate,1
Marienlyst,Bislett Stadion,1
Sognsveien,Fram-gården,1
Sognsveien,Arkaden Nord,1
Sognsveien,Fred Olsens gate,1
Sognsveien,Galgeberg,1
Carl Berners plass nord,Norsk Folkemuseum,1
Marienlyst,7. juni-plassen,1
Carl Berners plass nord,Nydalen,1
Marienlyst,Adamstuen,1
Carl Berners plass nord,Oscars gate,1
Carl Berners plass nord,Oslo Handelsgymnasium,1
Sognsveien,Hausmanns gate,1
Carl Berners plass nord,OsloMet,1
Carl Berners plass nord,Over Rådhusgata,1
Sognsveien,Hausmanns bru,1
Carl Berners plass nord,Parkveien,1
Marienlyst,Aker Brygge,1
Carl Berners plass nord,Pilestredet 63,1
Carl Berners plass nord,Pilestredet Studenthus,1
Sognsveien,Grünerhagen Nord,1
Sognsveien,Grønlands torg,1
Marienlyst,Anker Hotel,1
Marienlyst,Annette Thommessens Plass,1
Marienlyst,Arendalsgata,1
Sognsveien,Furulund,1
Carl Berners plass nord,Tannlegehøyskolen,1
Sognsveien,Akerselvallmenningen,1
Marienlyst,Bjølsen mølle,1
Sogn Studentby,Stavangergata,1
Marienlyst,Colletts gate,1
Marienlyst,Dokkveien,1
Sogn Studentby,Sirkustomta,1
Sogn Studentby,Sentrum Scene,1
Sogn Studentby,Sagene bussholdeplass,1
Marienlyst,Drammensveien,1
Sogn Studentby,Rostockgata,1
Hammersborg Torg,Tannlegehøyskolen,1
Marienlyst,Elgsletta,1
Sogn Studentby,Rolf Wickstrøms vei,1
Sogn Studentby,Pilestredet 63,1
Sogn Studentby,OsloMet,1
Sogn Studentby,Olav Kyrres plass,1
Sogn Studentby,Meltzers gate,1
Marienlyst,Enerhaugen,1
Carl Berners plass sør,Bjølsen Studentby,1
Sogn Studentby,Linaaes gate,1
Sogn Studentby,Lilleborgbanen,1
Carl Berners plass sør,Akersgata,1
Hammersborg Torg,Torshovparken vest,1
Sogn Studentby,Stjerneplassen,1
Carl Berners plass sør,Adamstuen,1
Hammersborg Torg,Uranienborgparken,1
Carl Berners plass nord,Torshovdalen øst,1
Marienlyst,Blindern T-Bane,1
Carl Berners plass nord,Trelastgata,1
Sognsveien,7. juni-plassen,1
Hammersborg Torg,Ullevålsveien,1
Sogn Studentby,Vippetangen vest,1
Sogn Studentby,Vaterlandsparken,1
Sogn Studentby,Uranienborgveien,1
Hans Nielsen Hauges plass,Biskop Gunnerus' gate,1
Carl Berners plass nord,Ullevålsalléen,1
Sogn Studentby,Tåsen Senter,1
Marienlyst,Bygdøy allé,1
Carl Berners plass nord,Volvat,1
Hammersborg Torg,Tåsen Senter,1
Marienlyst,Chr. Michelsens Gate,1
Sogn Studentby,The Hub,1
Sogn Studentby,Sukkerbiten,1
Carl Berners plass sør,7. juni-plassen,1
Marienlyst,Colbjørnsens gate,1
Marienlyst,Briskeby,1
Sogn Studentby,Kirkeristen,1
Marcus Thranes gate,Via Vika,1
Hans Nielsen Hauges plass,Blindern T-Bane,1
Marcus Thranes gate,Grenseveien,1
Sognsveien,Sommerfrydhagen,1
Marcus Thranes gate,HasleLinje,1
Sognsveien,Skøyen,1
Marcus Thranes gate,Hedmarksgata,1
Carl Berners plass nord,Bogstadveien,1
Marcus Thranes gate,Kontraskjæret,1
Sognsveien,Skillebekk,1
Sognsveien,Skarpsnoparken,1
Carl Berners plass nord,Brynseng T-bane,1
Carl Berners plass nord,Bygdøy allé,1
Sognsveien,Sjøsiden ved trappen,1
Hans Nielsen Hauges plass,Hausmanns bru,1
Marcus Thranes gate,Kværnerveien,1
Carl Berners plass nord,Domus Athletica,1
Carl Berners plass nord,Dronningens gate,1
Marcus Thranes gate,Langkaia,1
Marcus Thranes gate,Lørenporten,1
Marcus Thranes gate,Marienlyst,1
Sognsveien,St. Hanshaugen park sør,1
Sognsveien,Schives gate,1
Marcus Thranes gate,Gaustad T-bane,1
Carl Berners plass nord,Bak Niels Treschows hus nord,1
Bøkkerveien,Tjuvholmen,1
Hans Nielsen Hauges plass,Lodalen busstopp,1
Bøkkerveien,Torshovdalen øst,1
Hans Nielsen Hauges plass,Lindern,1
Sommerfrydhagen,BI Nydalen,1
Sommerfrydhagen,Adamstuen,1
Bøkkerveien,Tøyenparken,1
Bøkkerveien,Ulven Torg,1
Sommerfrydhagen,7. juni-plassen,1
Bøkkerveien,Via Vika,1
Marcus Thranes gate,Frogner Stadion,1
Sognsveien,Vippetangen vest,1
Sognsveien,Via Vika,1
Marcus Thranes gate,Frognerstranda,1
Hans Nielsen Hauges plass,Krohgstøtten hospital,1
Sognsveien,Tøyenbekken,1
Hans Nielsen Hauges plass,Kjeld Stubs gate,1
Hans Nielsen Hauges plass,Kirkeveien,1
Sognsveien,Thomas Heftyes plass,1
Hans Nielsen Hauges plass,Kirkegata 15,1
Carl Berners plass nord,Elisenberg,1
Sognsveien,Salt,1
Marcus Thranes gate,Monolittveien,1
Sognsveien,Landstads gate,1
Marcus Thranes gate,Sjølyst,1
Sognsveien,Københavngata busstopp,1
Hans Nielsen Hauges plass,Colosseum Kino,1
Sognsveien,Krohgstøtten hospital,1
Carl Berners plass nord,Krebs' gate,1
Sognsveien,Klingenberggata,1
Marcus Thranes gate,Skøyen Stasjon,1
Marcus Thranes gate,Thereses gate,1
Marcus Thranes gate,Tordenskiolds gate,1
Carl Berners plass nord,Lille Grensen,1
Hans Nielsen Hauges plass,Bygdøy allé,1
Hans Nielsen Hauges plass,Botanisk Hage vest,1
Sognsveien,Idioten,1
Carl Berners plass nord,Mailundveien,1
Marcus Thranes gate,Torshovparken vest,1
Sognsveien,Hydroparken,1
Sognsveien,Huk 2,1
Carl Berners plass nord,Marienlyst,1
Sognsveien,Lille Grensen,1
Marcus Thranes gate,Pilestredet Studenthus,1
Carl Berners plass nord,Hydroparken,1
Carl Berners plass nord,Holbergs plass,1
Carl Berners plass nord,Ensjøveien,1
Sognsveien,Rostockgata,1
Sognsveien,Rolf Wickstrøms vei,1
Carl Berners plass nord,Fram-gården,1
Sognsveien,Pilestredet Studenthus,1
Carl Berners plass nord,Friggfeltet,1
Carl Berners plass nord,Frogner Stadion,1
Sognsveien,Pilestredet,1
Hans Nielsen Hauges plass,Gimle Kino,1
Marcus Thranes gate,Ulven Torg,1
Hans Nielsen Hauges plass,Georg Morgenstiernes hus,1
Sognsveien,Over Rådhusgata,1
Sognsveien,Oslo Hospital,1
Sognsveien,Oslo Handelsgymnasium,1
Sognsveien,Nybrua holdeplass,1
Carl Berners plass nord,Hausmanns gate,1
Hans Nielsen Hauges plass,Frogner Stadion,1
Hans Nielsen Hauges plass,Friggfeltet,1
Carl Berners plass nord,Henrik Wergelands allé,1
Marcus Thranes gate,Olav Kyrres plass,1
Carl Berners plass nord,Grønlands torg,1
Maritimt Museum,Vulkan,1
Sogn Studentby,John Colletts plass,1
Marienlyst,Fagerheimgata,1
Sofienbergparken sør,Frognerveien,1
Carl Berners plass sør,Uelands gate,1
Hammersborg Torg,Kirkeveien,1
Carl Berners plass sør,Ulven Torg,1
Marienlyst,Salt,1
Carl Berners plass sør,Vestkanttorvet,1
Carl Berners plass sør,Vippetangen vest,1
Carl Berners plass sør,Vippetangen øst,1
Marienlyst,Sjølyst,1
Marienlyst,Sjøsiden ved fontenen,1
